OBJECTID,AGENCY,ST_NAME,S_TYPE,BUREAU,APREC,ABBREV_APREC,PREC,REPDIST,NAME,CommOrg,BASICCAR,p1_db_DBO_POLICE_AREA,PERIMETER,SHAPE_LENG,Shape_Length,Shape_Area,Shape__Area,Shape__Length,Area_in_sqm
35,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1918,1918,non-UA,19A7,11178740,17295.72,0.05242179,0.0523858,0.0001016201,1524420.265625,6392.32166692157,1037699
36,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1915,1915,non-UA,19A1,7447289,13721.86,0.04186031,0.03966679,6.765464e-05,1014890.05078125,4806.73982398445,690864
37,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1919,1919,non-UA,19A7,14468280,22770.14,0.06812427,0.07051139,0.0001315011,1972543.05078125,8703.20335387573,1342915
38,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1707,1707,UR,17A35,12211620,19062.64,0.05843335,0.05834995,0.0001111047,1666613.953125,7040.78531229388,1134608
39,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1715,1715,UR,17A35,45817710,33005.12,0.1016804,0.1016068,0.0004168215,6251884.62890625,12187.5750567431,4257010
40,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1703,1703,UR,17A35,8584198,14544.16,0.04553193,0.04553143,7.809744e-05,1171434.6484375,5368.62310107735,797575
41,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1603,1603,non-UA,16A35,19154460,21397.31,0.06535716,0.06546139,0.0001745313,2617833.953125,7890.2514698007,1782460
42,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1714,1714,UR,17A35,26768720,36007.72,0.1094754,0.1093645,0.000243514,3652281.7265625,13300.31624903,2487129
43,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1716,1716,UR,17A35,15559370,19271.87,0.05722088,0.05715843,0.000141544,2122926.90234375,7122.61963867198,1445648
44,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1601,1601,UA,16A11,11754230,14811.27,0.04509073,0.04645981,0.0001115608,1673221.21875,5621.15049856013,1139423
45,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1618,1618,non-UA,16A35,46917480,41777.36,0.129094,0.128621,0.0004267675,6400244.80078125,15424.6264320821,4359136
46,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1712,1712,UR,17A35,19957280,17496.11,0.05228622,0.05216295,0.0001815383,2722572.80859375,6465.00175503603,1854264
47,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1602,1602,UA,16A11,16223170,19277.97,0.05959203,0.05973068,0.0001475771,2213271.1171875,7127.37395076144,1507362
48,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1713,1713,UR,17A35,12022420,14600.37,0.04397516,0.04403932,0.0001093583,1640045.34375,5393.33189172906,1117023
49,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1709,1709,UR,17A49,4937657,10258.41,0.03187609,0.03178885,4.491387e-05,673597.83984375,3787.00700302988,458756
50,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1617,1617,non-UA,16A35,44733320,39974.73,0.1226315,0.1220968,0.000406868,6101287.62109375,14761.1279668211,4156225
51,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1611,1611,UA,16A11,10103970,13091.91,0.03970179,0.04054485,9.333828e-05,1399788.2890625,4925.99646701148,953392
52,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1614,1614,non-UA,16A35,645416.7,3806.828,0.01154123,0.01154007,5.870862e-06,88045.78125,1406.16647252808,59967
53,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1613,1613,non-UA,16A23,5734117,10814.95,0.03306169,0.03308323,5.215648e-05,782156.31640625,3993.73229154359,532766
54,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1612,1612,UA,16A11,12981200,14537.24,0.044199,0.04421069,0.0001180711,1770580.9375,5368.91628479303,1206103
55,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1729,1729,UR,17A35,19532610,20251.85,0.06418576,0.064238,0.0001776647,2664320.54296875,7470.91914835672,1814805
56,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1717,1717,UR,17A49,8891619,15535.64,0.04818407,0.04819557,8.087693e-05,1212863.328125,5734.54628196509,826135
57,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1944,1944,UA,19A43,10452890,17058.02,0.05074992,0.0507478,9.507355e-05,1425699.01171875,6303.20875246326,971192
58,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1718,1718,UR,17A49,10288330,12827.27,0.03988467,0.03971591,9.358028e-05,1403356.94921875,4734.94946602966,955904
59,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1719,1719,UR,17A49,643555.4,3697.543,0.01136501,0.01142029,5.853876e-06,87789.328125,1365.05669258086,59794
60,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1934,1934,UA,19A43,2280154,7007.382,0.02023985,0.02036785,2.073954e-05,311013.390625,2590.64149930093,211852
61,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1721,1721,UR,17A23,79239920,38470.62,0.1178123,0.1188127,0.0007211521,10813396.4570312,14256.6747977968,7367233
62,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1728,1728,UR,17A35,19457500,19074.71,0.05851064,0.05851378,0.0001769708,2653753.8671875,7042.45035801123,1807823
63,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1737,1737,UR,17A35,16878880,16534.63,0.05007086,0.04999537,0.0001535168,2302041.14453125,6106.78815790188,1568239
64,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1633,1633,non-UA,16A23,9212060,13152.33,0.0400073,0.03974011,8.378698e-05,1256438.1015625,4858.09556527756,855905
65,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1622,1622,UA,16A11,13674470,17787.17,0.0532427,0.05320717,0.0001243704,1864961.984375,6571.47481734454,1270511
66,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1727,1727,UR,17A35,28342750,21352.22,0.06458994,0.06458053,0.0002577658,3865033.8671875,7885.50807042875,2633359
67,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1723,1723,UR,17A23,41812540,27354.31,0.08427974,0.08435234,0.0003802694,5701925.1328125,10097.1324171882,3884848
68,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1943,1943,UA,19A43,13451660,17352.15,0.05505592,0.05502841,0.0001223436,1834555.87890625,6400.9230058527,1249813
69,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1725,1725,UR,17A23,22049370,19721.96,0.05915908,0.05917137,0.0002005312,3006855.53515625,7284.82654615268,2048634
70,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1636,1636,non-UA,16A35,19757420,25207.21,0.07749973,0.07645248,0.0001796849,2694252.4765625,9308.48356807913,1835683
71,PD,LAPD,Police,VALLEY BUREAU,FOOTHILL,FTHL,16,1623,1623,UA,16A23,5968893,11135.05,0.03395665,0.0340628,5.42872e-05,814038.45703125,4111.56953429126,554578
72,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1735,1735,UR,17A35,20137630,20857.55,0.06592739,0.06599593,0.0001831519,2746370.48046875,7694.14550430222,1871014
73,PD,LAPD,Police,VALLEY BUREAU,MISSION,MISN,19,1941,1941,UA,19A43,4371497,8868.876,0.02609382,0.02636263,3.975879e-05,596184.71875,3276.79734619341,406161
74,PD,LAPD,Police,VALLEY BUREAU,DEVONSHIRE,DEV,17,1738,1738,UR,17A49,8552983,12391.31,0.03896605,0.03896295,7.779036e-05,1166479.6171875,4571.88218982676,794671
